|6.6.6
faL_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  1523.150       1.000000      -1771694.      -1020081.       60.75735       493.4599       243.7000       5.332392      0.5709330E-03  0.2389781E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1533.150       1.000000      -1776637.      -1017644.       60.52945       495.0546       243.7000       5.338106      0.5715444E-03  0.2398266E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1543.150       1.000000      -1781595.      -1015207.       60.30505       496.6390       243.7000       5.343826      0.5721565E-03  0.2406797E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1553.150       1.000000      -1786570.      -1012770.       60.08406       498.2131       243.7000       5.349552      0.5727693E-03  0.2415372E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1563.150       1.000000      -1791560.      -1010333.       59.86643       499.7772       243.7000       5.355284      0.5733827E-03  0.2423993E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1573.150       1.000000      -1796565.      -1007896.       59.65208       501.3312       243.7000       5.361023      0.5739967E-03  0.2432661E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1583.150       1.000000      -1801586.      -1005459.       59.44095       502.8754       243.7000       5.366768      0.5746114E-03  0.2441374E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1593.150       1.000000      -1806623.      -1003022.       59.23297       504.4099       243.7000       5.372518      0.5752268E-03  0.2450134E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1603.150       1.000000      -1811674.      -1000585.       59.02809       505.9348       243.7000       5.378275      0.5758428E-03  0.2458941E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1613.150       1.000000      -1816741.      -998147.9       58.82624       507.4502       243.7000       5.384039      0.5764595E-03  0.2467795E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1623.150       1.000000      -1821823.      -995710.9       58.62736       508.9563       243.7000       5.389808      0.5770768E-03  0.2476697E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1633.150       1.000000      -1826920.      -993273.9       58.43140       510.4531       243.7000       5.395583      0.5776948E-03  0.2485647E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1643.150       1.000000      -1832032.      -990836.9       58.23830       511.9407       243.7000       5.401365      0.5783135E-03  0.2494645E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1653.150       1.000000      -1837159.      -988399.9       58.04800       513.4194       243.7000       5.407153      0.5789328E-03  0.2503693E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1663.150       1.000000      -1842301.      -985962.9       57.86045       514.8891       243.7000       5.412947      0.5795528E-03  0.2512789E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1673.150       1.000000      -1847457.      -983525.9       57.67561       516.3500       243.7000       5.418747      0.5801734E-03  0.2521935E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1683.150       1.000000      -1852628.      -981088.9       57.49341       517.8022       243.7000       5.424554      0.5807947E-03  0.2531131E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1693.150       1.000000      -1857813.      -978651.9       57.31381       519.2458       243.7000       5.430367      0.5814167E-03  0.2540377E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1703.150       1.000000      -1863013.      -976214.9       57.13676       520.6809       243.7000       5.436186      0.5820393E-03  0.2549674E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1713.150       1.000000      -1868226.      -973777.9       56.96222       522.1076       243.7000       5.442011      0.5826626E-03  0.2559022E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1723.150       1.000000      -1873455.      -971340.9       56.79013       523.5260       243.7000       5.447842      0.5832865E-03  0.2568422E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1733.150       1.000000      -1878697.      -968903.9       56.62045       524.9362       243.7000       5.453680      0.5839111E-03  0.2577874E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1743.150       1.000000      -1883953.      -966466.9       56.45314       526.3382       243.7000       5.459524      0.5845364E-03  0.2587378E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1753.150       1.000000      -1889224.      -964029.9       56.28816       527.7323       243.7000       5.465374      0.5851624E-03  0.2596934E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1763.150       1.000000      -1894508.      -961592.9       56.12546       529.1184       243.7000       5.471231      0.5857890E-03  0.2606544E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1773.150       1.000000      -1899806.      -959155.9       55.96500       530.4967       243.7000       5.477093      0.5864163E-03  0.2616208E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1783.150       1.000000      -1905118.      -956718.9       55.80675       531.8672       243.7000       5.482962      0.5870443E-03  0.2625925E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1793.150       1.000000      -1910443.      -954281.9       55.65066       533.2301       243.7000       5.488838      0.5876729E-03  0.2635697E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1803.150       1.000000      -1915782.      -951844.9       55.49669       534.5854       243.7000       5.494719      0.5883022E-03  0.2645524E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1813.150       1.000000      -1921135.      -949407.9       55.34481       535.9331       243.7000       5.500607      0.5889322E-03  0.2655406E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1823.150       1.000000      -1926501.      -946970.9       55.19498       537.2735       243.7000       5.506502      0.5895628E-03  0.2665344E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1833.150       1.000000      -1931881.      -944533.9       55.04717       538.6066       243.7000       5.512402      0.5901942E-03  0.2675339E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1843.150       1.000000      -1937273.      -942096.9       54.90134       539.9324       243.7000       5.518309      0.5908262E-03  0.2685390E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1853.150       1.000000      -1942679.      -939659.9       54.75745       541.2510       243.7000       5.524222      0.5914588E-03  0.2695498E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1863.150       1.000000      -1948098.      -937222.9       54.61548       542.5625       243.7000       5.530142      0.5920922E-03  0.2705664E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1873.150       1.000000      -1953530.      -934785.9       54.47539       543.8670       243.7000       5.536068      0.5927262E-03  0.2715887E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1883.150       1.000000      -1958976.      -932348.9       54.33715       545.1646       243.7000       5.542000      0.5933609E-03  0.2726170E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1893.150       1.000000      -1964434.      -929911.9       54.20072       546.4552       243.7000       5.547938      0.5939962E-03  0.2736511E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1903.150       1.000000      -1969905.      -927474.9       54.06608       547.7391       243.7000       5.553883      0.5946323E-03  0.2746912E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1913.150       1.000000      -1975388.      -925037.9       53.93320       549.0163       243.7000       5.559835      0.5952690E-03  0.2757373E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1923.150       1.000000      -1980885.      -922600.9       53.80205       550.2868       243.7000       5.565792      0.5959064E-03  0.2767895E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
