|6.6.6
fa_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  1523.150       1.000000      -1769255.      -1112131.       60.67369       431.4240       203.5674       4.831662      0.1896443E-03  0.4707279E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1533.150       1.000000      -1773575.      -1110094.       60.42515       432.7570       203.8271       4.833561      0.1900960E-03  0.4718172E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1543.150       1.000000      -1777910.      -1108054.       60.18029       434.0830       204.0859       4.835466      0.1905496E-03  0.4729116E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1553.150       1.000000      -1782257.      -1106012.       59.93903       435.4021       204.3437       4.837374      0.1910049E-03  0.4740110E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1563.150       1.000000      -1786618.      -1103968.       59.70129       436.7143       204.6006       4.839288      0.1914622E-03  0.4751156E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1573.150       1.000000      -1790991.      -1101920.       59.46701       438.0199       204.8566       4.841206      0.1919214E-03  0.4762253E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1583.150       1.000000      -1795378.      -1099871.       59.23612       439.3188       205.1117       4.843128      0.1923825E-03  0.4773402E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1593.150       1.000000      -1799778.      -1097818.       59.00855       440.6111       205.3660       4.845056      0.1928455E-03  0.4784603E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1603.150       1.000000      -1804190.      -1095763.       58.78424       441.8969       205.6194       4.846987      0.1933105E-03  0.4795857E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1613.150       1.000000      -1808616.      -1093706.       58.56313       443.1763       205.8720       4.848924      0.1937775E-03  0.4807163E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1623.150       1.000000      -1813054.      -1091646.       58.34515       444.4494       206.1237       4.850865      0.1942464E-03  0.4818523E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1633.150       1.000000      -1817505.      -1089583.       58.13025       445.7161       206.3747       4.852811      0.1947174E-03  0.4829936E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1643.150       1.000000      -1821968.      -1087518.       57.91836       446.9767       206.6248       4.854761      0.1951904E-03  0.4841404E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1653.150       1.000000      -1826444.      -1085451.       57.70944       448.2311       206.8742       4.856717      0.1956654E-03  0.4852925E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1663.150       1.000000      -1830933.      -1083381.       57.50342       449.4795       207.1228       4.858677      0.1961426E-03  0.4864502E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1673.150       1.000000      -1835434.      -1081308.       57.30025       450.7219       207.3707       4.860642      0.1966218E-03  0.4876133E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1683.150       1.000000      -1839947.      -1079233.       57.09989       451.9583       207.6178       4.862611      0.1971031E-03  0.4887820E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1693.150       1.000000      -1844473.      -1077156.       56.90227       453.1889       207.8642       4.864586      0.1975865E-03  0.4899563E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1703.150       1.000000      -1849011.      -1075076.       56.70734       454.4137       208.1099       4.866565      0.1980721E-03  0.4911362E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1713.150       1.000000      -1853561.      -1072994.       56.51507       455.6328       208.3548       4.868550      0.1985598E-03  0.4923217E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1723.150       1.000000      -1858123.      -1070909.       56.32539       456.8462       208.5991       4.870539      0.1990497E-03  0.4935130E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1733.150       1.000000      -1862698.      -1068822.       56.13827       458.0539       208.8427       4.872533      0.1995418E-03  0.4947100E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1743.150       1.000000      -1867285.      -1066732.       55.95366       459.2562       209.0857       4.874532      0.2000362E-03  0.4959128E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1753.150       1.000000      -1871883.      -1064640.       55.77151       460.4529       209.3279       4.876536      0.2005327E-03  0.4971214E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1763.150       1.000000      -1876494.      -1062546.       55.59178       461.6442       209.5695       4.878545      0.2010315E-03  0.4983359E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1773.150       1.000000      -1881116.      -1060449.       55.41442       462.8301       209.8105       4.880558      0.2015327E-03  0.4995563E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1783.150       1.000000      -1885750.      -1058349.       55.23941       464.0107       210.0509       4.882577      0.2020361E-03  0.5007826E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1793.150       1.000000      -1890396.      -1056248.       55.06669       465.1861       210.2906       4.884601      0.2025418E-03  0.5020149E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1803.150       1.000000      -1895054.      -1054144.       54.89622       466.3563       210.5297       4.886630      0.2030498E-03  0.5032533E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1813.150       1.000000      -1899723.      -1052037.       54.72797       467.5213       210.7682       4.888665      0.2035602E-03  0.5044977E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1823.150       1.000000      -1904404.      -1049928.       54.56190       468.6812       211.0062       4.890704      0.2040730E-03  0.5057483E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1833.150       1.000000      -1909097.      -1047817.       54.39797       469.8360       211.2435       4.892748      0.2045882E-03  0.5070050E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1843.150       1.000000      -1913801.      -1045703.       54.23615       470.9859       211.4803       4.894798      0.2051058E-03  0.5082679E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1853.150       1.000000      -1918517.      -1043587.       54.07639       472.1308       211.7165       4.896853      0.2056258E-03  0.5095371E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1863.150       1.000000      -1923244.      -1041469.       53.91867       473.2708       211.9521       4.898913      0.2061483E-03  0.5108126E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1873.150       1.000000      -1927982.      -1039348.       53.76296       474.4060       212.1872       4.900978      0.2066733E-03  0.5120944E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1883.150       1.000000      -1932732.      -1037225.       53.60921       475.5364       212.4218       4.903048      0.2072007E-03  0.5133827E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1893.150       1.000000      -1937493.      -1035100.       53.45739       476.6621       212.6558       4.905124      0.2077307E-03  0.5146773E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1903.150       1.000000      -1942265.      -1032972.       53.30748       477.7830       212.8893       4.907205      0.2082632E-03  0.5159785E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1913.150       1.000000      -1947048.      -1030842.       53.15945       478.8993       213.1223       4.909292      0.2087983E-03  0.5172862E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1923.150       1.000000      -1951843.      -1028710.       53.01325       480.0110       213.3548       4.911383      0.2093360E-03  0.5186005E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1933.150       1.000000      -1956649.      -1026575.       52.86887       481.1181       213.5868       4.913481      0.2098762E-03  0.5199214E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1943.150       1.000000      -1961465.      -1024438.       52.72627       482.2207       213.8182       4.915583      0.2104191E-03  0.5212490E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1953.150       1.000000      -1966293.      -1022299.       52.58542       483.3189       214.0492       4.917691      0.2109647E-03  0.5225833E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1963.150       1.000000      -1971132.      -1020157.       52.44630       484.4126       214.2797       4.919805      0.2115129E-03  0.5239244E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1973.150       1.000000      -1975981.      -1018013.       52.30888       485.5019       214.5098       4.921924      0.2120638E-03  0.5252724E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1983.150       1.000000      -1980842.      -1015867.       52.17313       486.5869       214.7393       4.924048      0.2126174E-03  0.5266272E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1993.150       1.000000      -1985713.      -1013718.       52.03903       487.6676       214.9684       4.926179      0.2131737E-03  0.5279890E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2003.150       1.000000      -1990595.      -1011567.       51.90655       488.7440       215.1971       4.928314      0.2137329E-03  0.5293577E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2013.150       1.000000      -1995488.      -1009414.       51.77566       489.8162       215.4253       4.930456      0.2142947E-03  0.5307335E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2023.150       1.000000      -2000391.      -1007259.       51.64635       490.8842       215.6530       4.932603      0.2148594E-03  0.5321164E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2033.150       1.000000      -2005305.      -1005101.       51.51857       491.9480       215.8804       4.934755      0.2154270E-03  0.5335065E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2043.150       1.000000      -2010230.      -1002941.       51.39233       493.0078       216.1072       4.936913      0.2159973E-03  0.5349037E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
