|6.6.6
foL_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  1523.150       1.000000      -2334558.      -1759759.       80.05984       377.3750       269.4000       4.826148      0.4439123E-03  0.1562991E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1533.150       1.000000      -2338340.      -1757065.       79.66652       379.1379       269.4000       4.830590      0.4443208E-03  0.1566667E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1543.150       1.000000      -2342141.      -1754371.       79.27889       380.8894       269.4000       4.835036      0.4447296E-03  0.1570355E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1553.150       1.000000      -2345958.      -1751677.       78.89684       382.6295       269.4000       4.839486      0.4451389E-03  0.1574054E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1563.150       1.000000      -2349793.      -1748983.       78.52026       384.3585       269.4000       4.843941      0.4455485E-03  0.1577766E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1573.150       1.000000      -2353645.      -1746289.       78.14903       386.0765       269.4000       4.848399      0.4459584E-03  0.1581490E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1583.150       1.000000      -2357515.      -1743595.       77.78307       387.7835       269.4000       4.852862      0.4463688E-03  0.1585225E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1593.150       1.000000      -2361401.      -1740901.       77.42225       389.4798       269.4000       4.857328      0.4467796E-03  0.1588973E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1603.150       1.000000      -2365304.      -1738207.       77.06649       391.1656       269.4000       4.861799      0.4471907E-03  0.1592733E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1613.150       1.000000      -2369224.      -1735513.       76.71568       392.8408       269.4000       4.866274      0.4476021E-03  0.1596505E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1623.150       1.000000      -2373161.      -1732819.       76.36973       394.5056       269.4000       4.870753      0.4480140E-03  0.1600290E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1633.150       1.000000      -2377114.      -1730125.       76.02855       396.1603       269.4000       4.875236      0.4484263E-03  0.1604087E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1643.150       1.000000      -2381084.      -1727431.       75.69205       397.8048       269.4000       4.879723      0.4488389E-03  0.1607896E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1653.150       1.000000      -2385070.      -1724737.       75.36013       399.4394       269.4000       4.884215      0.4492519E-03  0.1611718E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1663.150       1.000000      -2389073.      -1722043.       75.03272       401.0641       269.4000       4.888710      0.4496653E-03  0.1615552E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1673.150       1.000000      -2393092.      -1719349.       74.70973       402.6791       269.4000       4.893210      0.4500791E-03  0.1619399E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1683.150       1.000000      -2397126.      -1716655.       74.39108       404.2844       269.4000       4.897714      0.4504932E-03  0.1623258E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1693.150       1.000000      -2401177.      -1713961.       74.07668       405.8803       269.4000       4.902222      0.4509078E-03  0.1627130E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1703.150       1.000000      -2405244.      -1711267.       73.76647       407.4667       269.4000       4.906734      0.4513227E-03  0.1631015E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1713.150       1.000000      -2409327.      -1708573.       73.46035       409.0438       269.4000       4.911250      0.4517380E-03  0.1634913E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1723.150       1.000000      -2413425.      -1705879.       73.15827       410.6118       269.4000       4.915770      0.4521536E-03  0.1638823E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1733.150       1.000000      -2417539.      -1703185.       72.86014       412.1707       269.4000       4.920295      0.4525697E-03  0.1642746E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1743.150       1.000000      -2421668.      -1700491.       72.56590       413.7206       269.4000       4.924824      0.4529861E-03  0.1646683E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1753.150       1.000000      -2425813.      -1697797.       72.27548       415.2617       269.4000       4.929357      0.4534030E-03  0.1650632E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1763.150       1.000000      -2429973.      -1695103.       71.98881       416.7940       269.4000       4.933894      0.4538202E-03  0.1654594E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
